Rank in 2020,School name,Country,Weighted salary (US$),Address,LatLong,Latitude,Longitude
1,Harvard Business School,US,210110,"Boston, MA 02163, United States","42.36537624208506, -71.12235730182441",42.36537624,-71.1223573
2,University of Pennsylvania: Wharton,US,211543,"Vance Hall, Philadelphia, PA 19104, United States","39.951839197595554, -75.19868292139121",39.9518392,-75.19868292
3,Stanford Graduate School of Business,US,222625,"655 Knight Way, Stanford, CA 94305, United States","37.42791576046211, -122.16108737109275",37.42791576,-122.1610874
4,Insead,France / Singapore,181277,"Boulevard de Constance, 77300 Fontainebleau, France","48.40550410640775, 2.6848275479092245",48.40550411,2.684827548
5,Ceibs,China,185103,"699 Hongfeng Rd, Pudong, Shanghai, China","31.2370996858499, 121.59697272694322",31.23709969,121.5969727
6,MIT: Sloan,US,197177,"100 Main St, Cambridge, MA 02142, United States","42.36092602994844, -71.0830374477129",42.36092603,-71.08303745
7,London Business School,UK,171492,"Regent's Park, London NW1 4SA, United Kingdom","51.52596689170426, -0.1606567358250701",51.52596689,-0.1606567358
8,Columbia Business School,US,202238,"3022 Broadway, New York, NY 10027, United States","40.80879239396675, -73.96135508636796",40.80879239,-73.96135509
9,HEC Paris,France,164529,"1 Rue de la Libération, 78350 Jouy-en-Josas, France","48.75717109679704, 2.169350495323654",48.7571711,2.169350495
10,University of Chicago: Booth,US,191679,"5807 S Woodlawn Ave, Chicago, IL 60637, United States","41.789149191133156, -87.59612947285515",41.78914919,-87.59612947
11,Northwestern University: Kellogg,US,186438,"2211 Campus Dr, Evanston, IL 60208, United States","42.05732342269466, -87.67198601703011",42.05732342,-87.67198602
12,University of California at Berkeley: Haas,US,193630,"2220 Piedmont Ave, Berkeley, CA 94720, United States","37.87149964139161, -122.25336023060949",37.87149964,-122.2533602
13,Iese Business School,Spain,151347,"Carrer d'Arnús i de Garí, nº 3, 7, 08034 Barcelona, Spain","41.39360891817793, 2.105902737699513",41.39360892,2.105902738
14,Yale School of Management,US,178829,"165 Whitney Ave, New Haven, CT 06511, United States","41.31530608779826, -72.92033166730585",41.31530609,-72.92033167
15,National University of Singapore Business School,Singapore,167070,"15 Kent Ridge Dr, Singapore 119245","1.2924705380023807, 103.77427621324655",1.292470538,103.7742762
16,Dartmouth College: Tuck,US,177819,"100 Tuck Hall, Hanover, NH 03755, United States","43.70539139664428, -72.29418825932065",43.7053914,-72.29418826
16,Duke University: Fuqua,US,174070,"100 Fuqua Drive, Durham, NC 27708, United States","35.99838196051378, -78.9459977613353",35.99838196,-78.94599776
18,University of Virginia: Darden,US,170240,"100 Darden Blvd, Charlottesville, VA 22903, United States","38.0524624248767, -78.51465483060602",38.05246242,-78.51465483
19,University of Cambridge: Judge,UK,162662,"University of, Trumpington St, Cambridge CB2 1AG, United Kingdom","52.1998707702475, 0.12159429856449734",52.19987077,0.1215942986
19,HKUST Business School,China,157025,"Rm 1501- 02, 15/F, Hong Kong Club Building, 3A Chater Rd, Central, Hong Kong","22.281517313074144, 114.16110638449506",22.28151731,114.1611064
21,University of Oxford: Saïd,UK,156739,"Park End St, Oxford OX1 1HP, United Kingdom","51.75306932946013, -1.2681314456284216",51.75306933,-1.268131446
22,New York University: Stern,US,166392,"44 West 4th Street, New York, NY 10012, United States","40.729108309677216, -73.99628348822296",40.72910831,-73.99628349
23,Cornell University: Johnson,US,166035,"Sage Hall, 106 East Ave, Ithaca, NY 14853, United States","42.445877296155736, -76.4834170728406",42.4458773,-76.48341707
